TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13571,A,34340,서천군,Seocheon-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,8630,A,34350,청양군,Cheongyang-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,13707,A,34360,홍성군,Hongseong-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,19204,A,34370,예산군,Yesan-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,14579,A,34380,태안군,Taean-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,204612,A,35,전북,Jeollabuk-do
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,5311,A,35010,전주시,Jeonju-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,14631,A,35020,군산시,Gunsan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,24310,A,35030,익산시,Iksan-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,23378,A,35040,정읍시,Jeongeup-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,15262,A,35050,남원시,Namwon-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,28494,A,35060,김제시,Gimje-si
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,11994,A,35310,완주군,Wanju-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7589,A,35320,진안군,Jinan-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,5439,A,35330,무주군,Muju-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7226,A,35340,장수군,Jangsu-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,7735,A,35350,임실군,Imsil-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,9847,A,35360,순창군,Sunchang-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,24516,A,35370,고창군,Gochang-gun
시군별 논밭별 경지면적,2014,DT_1EB002,경지면적: 계,Area of cultivated Land : Total,T10,헥타르,101,Hectare,행정구역별,By administrative divisions,18881,A,35380,부안군,Buan-gun
