지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
김천시,16435,16006.0,15835.0,15612.3463360285,15309.0,15113.7155,14899.7557,14739.9164,14447.1175,14490.7044
안동시,20666,20734.0,20413.0,20461.8590726305,20039.0,19887.4272,19607.86,19352.1235,19022.8177,18472.6574
구미시,12203,11995.0,11956.0,11626.1587384507,11435.0,11304.6608,11183.0132,10930.692,10759.814,10686.4855
영주시,14408,14698.0,14617.0,14403.5028602449,13608.0,13476.8783,13427.7805,13368.497,13258.6603,12928.591
영천시,15022,14753.0,14686.0,14483.4710481972,14128.0,13943.3372,13685.8765,13653.7126,13521.2901,12983.2523
상주시,26769,26324.0,26192.0,26248.9911110868,25939.0,25725.1243,25314.6246,25107.9696,24848.7178,24426.624
문경시,11469,11459.0,11413.0,11329.3216048897,11168.0,11044.9479,10936.5385,10845.8004,10757.277,10647.6708
경산시,8802,9666.0,9974.0,10059.7342331682,9910.0,9668.5523,9562.6693,9471.3304,9252.6466,8512.3239
군위군,7651,7493.0,7371.0,7302.5677393234,7183.0,7155.6098,7073.269,7042.702,6945.5133,6959.2838
의성군,21009,21182.0,21009.0,20894.5442665538,20583.0,20368.0651,19904.3167,19796.2562,19700.1985,19537.5966
청송군,7925,7764.0,7783.0,7785.7411242382,7767.0,7724.6442,7575.4034,7512.5629,7419.9532,7418.6122
영양군,6443,6357.0,6354.0,6314.0658602037,6255.0,6232.4447,6140.7634,6099.0438,5990.4117,5725.3108
영덕군,6342,6316.0,6260.0,6098.0114027073,5767.0,5732.3438,5664.6986,5665.5163,5607.4462,5434.4231
청도군,10412,10491.0,10507.0,10370.485788206,10213.0,10122.8017,9914.5972,9842.5265,9776.4871,9348.7473
고령군,6145,6256.0,6131.0,5937.3957345624,5814.0,5804.629,5712.6018,5708.6993,5650.0852,5302.4043
성주군,10735,9964.0,9299.0,8510.3509453734,8451.0,8359.813,8326.5645,8273.8928,8166.5005,8210.8574
칠곡군,6413,6110.0,6120.0,6108.1692971814,5875.0,5798.6916,5770.9231,5739.5032,5689.3233,5118.9079
예천군,18180,18192.0,18138.0,18067.3907720049,17659.0,17548.3848,17260.7212,17098.2034,16952.8751,16720.7035
봉화군,12246,12243.0,12211.0,12068.9628431445,11830.0,11690.8901,11612.9897,11584.3575,11478.9047,10678.9452
울진군,5467,5493.0,5487.0,5441.8536668045,4957.0,4867.5477,4775.2916,4761.415,4736.2182,4345.7768
울릉군,1239,1209.0,1209.0,1205.7586877287,1200.0,1197.2135,1131.2685,1131.2685,1115.9662,514.4744
경상남도,159863,156978.0,154050.0,151768.681909135,149247.0,146765.7098,144403.5167,142946.2878,141889.4558,138184.6566
진주시,13867,13445.0,13359.0,13186.306962383,13116.0,12957.1695,12779.5115,12690.2825,12596.0852,12333.8466
통영시,2867,2824.0,2853.0,2853.5266481767,2791.0,2755.4744,2617.2408,2574.25,2542.1517,1775.1776
사천시,8002,8259.0,7583.0,7457.0177416165,7422.0,7280.3653,7197.3545,7063.3962,7024.9305,7096.4808
김해시,9047,8923.0,8501.0,8153.345143615,7913.0,7786.5904,7608.2379,7557.302,7384.3134,7301.7789
밀양시,14619,14383.0,14235.0,13963.7206329742,13584.0,13401.7492,13258.0798,12949.8917,12845.2614,12717.0782
거제시,4445,4363.0,4172.0,4118.8395721692,4033.0,3997.3815,3952.3043,3942.9258,3909.796,3684.2323
양산시,3081,2953.0,2739.0,2706.5301504166,2601.0,2534.1334,2468.7191,2443.2785,2399.5868,2158.555
창원시,10284,10138.0,10017.0,9828.4770458206,9669.0,9534.2715,9443.6401,9142.2824,9030.7361,8993.1112
의령군,6627,6622.0,6617.0,6520.4407396262,6315.0,6111.8073,6090.8782,6078.9419,6035.2348,5573.2773
함안군,10216,10164.0,9920.0,9606.3676043162,9463.0,9408.0604,9211.4735,9143.4201,9084.6456,8886.3254
창녕군,11543,11019.0,10893.0,10562.349292516,10473.0,10296.4742,10106.4929,10043.2093,10019.9128,10193.7682
남해군,6486,5985.0,5759.0,5754.2693138259,5737.0,5623.0004,5461.2498,5371.463,5331.4649,5332.4502
하동군,9631,9312.0,9406.0,9483.2153557061,9382.0,9224.6169,8975.9628,8940.8354,8887.3609,8656.4148
산청군,7741,7569.0,7274.0,7025.0471061552,6945.0,6735.343,6620.7881,6575.4721,6563.1276,6833.1909
함양군,7972,7963.0,7827.0,7732.3884925441,7538.0,7269.4309,7141.2866,7106.0195,7081.4371,7019.6826
거창군,11171,11165.0,11353.0,11512.7741009816,11307.0,11165.6209,11027.0874,10980.1095,10970.9319,10210.3974
합천군,12247,12043.0,11788.0,11637.7029593336,11402.0,11294.1813,11194.1835,11118.0463,10987.6558,10639.1308
제주특별자치도,61377,62856.0,62686.0,62642.3895893675,62140.0,61088.3301,59338.1622,59039.1992,58653.6309,56355.0072
제주시,31541,31585.0,31452.0,31427.5293385725,31164.0,30498.3382,29668.0979,29517.3541,29267.9486,27878.6324
서귀포시,29836,31271.0,31234.0,31214.860250795,30976.0,30589.9919,29670.0643,29521.8451,29385.6823,28476.3748
