TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,647052,A,15315NJB000,15315HJG008018,하남시,Hanam-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2493631,A,15315NJB000,15315HJG008019,용인시,Yongin-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2732063,A,15315NJB000,15315HJG008020,파주시,Paju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,541116,A,15315NJB000,15315HJG008021,이천시,Icheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1540465,A,15315NJB000,15315HJG008022,안성시,Anseong-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1418389,A,15315NJB000,15315HJG008023,김포시,Gimpo-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,27467752,A,15315NJB000,15315HJG008024,화성시,Hwaseong-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,886932,A,15315NJB000,15315HJG008025,광주시,Gwangju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,977122,A,15315NJB000,15315HJG008026,양주시,Yangju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,313106,A,15315NJB000,15315HJG008027,포천시,Pocheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,621607,A,15315NJB000,15315HJG008029,연천군,Yeoncheon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,156538,A,15315NJB000,15315HJG008030,가평군,Gapyeong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,137273,A,15315NJB000,15315HJG008031,양평군,Yangpyeong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,106641,A,15315NJB000,15315HJG008032,여주시,Yeoju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,7574501,A,15315NJB000,15315HJG009,강원도,Gangwon-do,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,755144,A,15315NJB000,15315HJG009001,춘천시,Chuncheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3560698,A,15315NJB000,15315HJG009002,원주시,Wonju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,628073,A,15315NJB000,15315HJG009003,강릉시,Gangneung-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,675067,A,15315NJB000,15315HJG009004,동해시,Donghae-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,222460,A,15315NJB000,15315HJG009005,태백시,Taebaek-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,281883,A,15315NJB000,15315HJG009006,속초시,Sokcho-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,296131,A,15315NJB000,15315HJG009007,삼척시,Samcheok-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,216801,A,15315NJB000,15315HJG009008,홍천군,Hongcheon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,282072,A,15315NJB000,15315HJG009009,횡성군,Hoengseong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,30833,A,15315NJB000,15315HJG009010,영월군,Yeongwol-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,241265,A,15315NJB000,15315HJG009011,평창군,Pyeongchang-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,200642,A,15315NJB000,15315HJG009012,정선군,Jeongseon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,62962,A,15315NJB000,15315HJG009013,철원군,Cheorwon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,35394,A,15315NJB000,15315HJG009015,양구군,Yanggu-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,48166,A,15315NJB000,15315HJG009016,인제군,Inje-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,9412,A,15315NJB000,15315HJG009017,고성군,Goseong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,27498,A,15315NJB000,15315HJG009018,양양군,Yangyang-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,13999335,A,15315NJB000,15315HJG010,충청북도,Chungcheongbuk-do,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,7005083,A,15315NJB000,15315HJG010001,청주시,Cheongju-si,계,Total
