TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,172566,S,167,김제
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,211179,S,168,완주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,3485,S,169,진안
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,9679,S,170,무주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,22768,S,171,장수
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,30246,S,172,임실
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,9397,S,173,순창
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,18601,S,174,고창
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,72680,S,175,부안
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,6138715,S,176,전라남도
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,228487,S,177,목포
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2135561,S,178,여수
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,561562,S,179,순천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,675830,S,180,나주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,581641,S,181,광양
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,216566,S,182,담양
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,66987,S,183,곡성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2485,S,184,구례
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,38375,S,185,고흥
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,39203,S,186,보성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,60749,S,187,화순
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,77376,S,188,장흥
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,165198,S,189,강진
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,79743,S,190,해남
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,172491,S,191,영암
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,5551,S,192,무안
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,130410,S,193,함평
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,217224,S,194,영광
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,616141,S,195,장성
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,24693,S,196,완도
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,25697,S,197,진도
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,16745,S,198,신안
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,16058139,S,199,경상북도
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1262866,S,200,포항
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,7064639,S,201,경주
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1440147,S,202,김천
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,204182,S,203,안동
