행정구역(시군구)별,항목,단위,2000.01 월,2001.01 월,2002.01 월,2003.01 월,2004.01 월,2005.01 월,2006.01 월,2007.01 월,2008.01 월,2009.01 월,2010.01 월,2011.01 월,2012.01 월,2013.01 월,2014.01 월,2015.01 월,2016.01 월,2017.01 월,2018.01 월,2019.01 월,2020.01 월,2021.01 월,2022.01 월
전라남도,시도내이동-시군구간 전출[명],명,5602.0,5293.0,6051.0,5008.0,5131.0,4885.0,4405.0,5813.0,6039.0,5710.0,5318.0,4793.0,5176,5791,4701,5348,4664,5224,5924,6021,6125,5203,4118
전라남도,시도간전입[명],명,9593.0,8558.0,10039.0,8567.0,9662.0,9232.0,8990.0,11117.0,10424.0,8699.0,8692.0,7868.0,8215,8405,7852,8859,7630,7759,8315,8207,7675,8597,7288
전라남도,시도간전출[명],명,14129.0,12529.0,15108.0,12435.0,12732.0,11939.0,11820.0,13531.0,12408.0,9403.0,10195.0,9676.0,9974,10010,8561,10325,9578,9023,10645,11672,11003,8908,6747
경상북도,총전입[명],명,31395.0,26622.0,36919.0,30539.0,31872.0,29269.0,36042.0,37171.0,35177.0,27708.0,28511.0,29095.0,28984,30503,28460,29208,27354,25341,29327,29181,28254,28704,24367
경상북도,총전출[명],명,35338.0,30458.0,43611.0,39190.0,38784.0,32070.0,35206.0,40654.0,37528.0,29185.0,31032.0,30881.0,31408,30887,29849,30848,29039,26785,31382,31304,30667,29732,25706
경상북도,순이동[명],명,-3943.0,-3836.0,-6692.0,-8651.0,-6912.0,-2801.0,836.0,-3483.0,-2351.0,-1477.0,-2521.0,-1786.0,-2424,-384,-1389,-1640,-1685,-1444,-2055,-2123,-2413,-1028,-1339
경상북도,시도내이동-시군구내[명],명,15218.0,11806.0,17553.0,13821.0,15071.0,13239.0,15941.0,16425.0,16542.0,11964.0,12494.0,13260.0,12717,13387,13075,11934,11699,10702,12141,12434,11661,11472,9929
경상북도,시도내이동-시군구간 전입[명],명,5717.0,5157.0,7076.0,7145.0,6320.0,5073.0,6058.0,7019.0,6074.0,5066.0,5149.0,4912.0,5368,5181,4904,5443,5024,4531,5948,5401,5451,5341,4530
경상북도,시도내이동-시군구간 전출[명],명,5717.0,5157.0,7076.0,7145.0,6320.0,5073.0,6058.0,7019.0,6074.0,5066.0,5149.0,4912.0,5368,5181,4904,5443,5024,4531,5948,5401,5451,5341,4530
경상북도,시도간전입[명],명,10460.0,9659.0,12290.0,9573.0,10481.0,10957.0,14043.0,13727.0,12561.0,10678.0,10868.0,10923.0,10899,11935,10481,11831,10631,10108,11238,11346,11142,11891,9908
경상북도,시도간전출[명],명,14403.0,13495.0,18982.0,18224.0,17393.0,13758.0,13207.0,17210.0,14912.0,12155.0,13389.0,12709.0,13323,12319,11870,13471,12316,11552,13293,13469,13555,12919,11247
경상남도,총전입[명],명,41433.0,32264.0,46662.0,39368.0,39494.0,40625.0,43893.0,49245.0,48234.0,37140.0,43867.0,43965.0,36916,35686,37984,40249,38068,33822,39383,40480,41860,36012,30852
경상남도,총전출[명],명,41110.0,33336.0,46818.0,40630.0,41881.0,43704.0,45567.0,50939.0,50190.0,38453.0,43874.0,44049.0,37107,36878,37591,40066,38550,33949,39386,40989,42474,37269,32853
경상남도,순이동[명],명,323.0,-1072.0,-156.0,-1262.0,-2387.0,-3079.0,-1674.0,-1694.0,-1956.0,-1313.0,-7.0,-84.0,-191,-1192,393,183,-482,-127,-3,-509,-614,-1257,-2001
경상남도,시도내이동-시군구내[명],명,18862.0,14093.0,20527.0,16813.0,17088.0,18159.0,20029.0,21085.0,19959.0,15671.0,19836.0,22988.0,16168,16424,18704,19232,18606,15070,18375,20194,22069,16853,14410
경상남도,시도내이동-시군구간 전입[명],명,10869.0,8598.0,12639.0,10286.0,11421.0,11362.0,11710.0,13817.0,13832.0,10165.0,11151.0,8286.0,8392,7636,7231,7881,7612,6909,7805,7713,7494,7288,6341
경상남도,시도내이동-시군구간 전출[명],명,10869.0,8598.0,12639.0,10286.0,11421.0,11362.0,11710.0,13817.0,13832.0,10165.0,11151.0,8286.0,8392,7636,7231,7881,7612,6909,7805,7713,7494,7288,6341
경상남도,시도간전입[명],명,11702.0,9573.0,13496.0,12269.0,10985.0,11104.0,12154.0,14343.0,14443.0,11304.0,12880.0,12691.0,12356,11626,12049,13136,11850,11843,13203,12573,12297,11871,10101
경상남도,시도간전출[명],명,11379.0,10645.0,13652.0,13531.0,13372.0,14183.0,13828.0,16037.0,16399.0,12617.0,12887.0,12775.0,12547,12818,11656,12953,12332,11970,13206,13082,12911,13128,12102
제주특별자치도,총전입[명],명,11149.0,12592.0,12955.0,11711.0,12649.0,13940.0,12506.0,12057.0,10833.0,8887.0,8731.0,12621.0,10135,11324,11105,11164,11926,11105,13090,11509,9990,9713,8792
제주특별자치도,총전출[명],명,11604.0,13084.0,13226.0,12304.0,13307.0,14482.0,12966.0,12664.0,11630.0,9096.0,9017.0,12661.0,10000,11218,10505,10412,11070,10479,12052,11419,10274,9770,8847
제주특별자치도,순이동[명],명,-455.0,-492.0,-271.0,-593.0,-658.0,-542.0,-460.0,-607.0,-797.0,-209.0,-286.0,-40.0,135,106,600,752,856,626,1038,90,-284,-57,-55
제주특별자치도,시도내이동-시군구내[명],명,6500.0,7861.0,7532.0,6637.0,5949.0,7040.0,7120.0,8612.0,7858.0,6097.0,6041.0,9582.0,7006,7985,7469,6911,7582,6718,7711,6890,5625,5517,4620
제주특별자치도,시도내이동-시군구간 전입[명],명,2981.0,3219.0,3311.0,3431.0,4912.0,5115.0,3419.0,1433.0,1178.0,959.0,922.0,1060.0,1061,1065,1011,1007,971,1065,1211,1041,993,999,833
제주특별자치도,시도내이동-시군구간 전출[명],명,2981.0,3219.0,3311.0,3431.0,4912.0,5115.0,3419.0,1433.0,1178.0,959.0,922.0,1060.0,1061,1065,1011,1007,971,1065,1211,1041,993,999,833
제주특별자치도,시도간전입[명],명,1668.0,1512.0,2112.0,1643.0,1788.0,1785.0,1967.0,2012.0,1797.0,1831.0,1768.0,1979.0,2068,2274,2625,3246,3373,3322,4168,3578,3372,3197,3339
제주특별자치도,시도간전출[명],명,2123.0,2004.0,2383.0,2236.0,2446.0,2327.0,2427.0,2619.0,2594.0,2040.0,2054.0,2019.0,1933,2168,2025,2494,2517,2696,3130,3488,3656,3254,3394
