,소재지(시군구)별(1),소재지(시군구)별(2),2008,2008.5,2009,2009.5,2010,2010.5,2011,2011.5,2012,2012.5,2013,2013.5,2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5
0,소재지(시군구)별(1),소재지(시군구)별(2),10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상
1,소재지(시군구)별(1),소재지(시군구)별(2),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b)
76,충청남도,금산군,3032,0,3032,0,3032,0,0,1191,3029,0,3029,0,3029,0,0,3029,-,-,-,-,-,-,-,-,-,-
77,충청남도,연기군,20026,41138,20026,41138,20026,41138,20026,41138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,충청남도,부여군,0,355784,0,355784,0,355784,0,355784,0,355784,0,355784,0,355784,0,355784,0,355784,0,355784,0,355784,-,-,-,-
79,충청남도,서천군,0,30970,0,30970,0,30970,0,30970,0,30970,0,30970,0,30970,0,30970,0,30970,2268,30970,0,33238,0,33238,-,-
80,충청남도,청양군,0,10170,0,10170,0,10170,0,10170,0,10170,0,10170,0,10170,0,10170,0,10170,0,10170,0,10170,-,-,-,-
81,충청남도,당진군,47606,471809,47606,0,71884,0,76920,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,전라북도,소계,47698,0,47698,0,2515175,1604,5537637,1604,4514320,1604,9761551,36204,9744876,36204,9744876,36204,9744876,36204,7742242,36204,7746832,36204,658126,2465592,658126,2465592
83,전라북도,군산시,-,-,-,-,2463988,1604,2463988,1604,2463988,1604,2463988,1604,2463988,1604,2463988,1604,2463988,1604,2463988,1604,2463988,1604,0,2465592,0,2465592
84,전라북도,익산시,-,-,-,-,3489,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,전라북도,순창군,-,-,-,-,-,-,3025951,0,2002634,0,2002634,0,2002634,0,2002634,0,2002634,0,-,-,-,-,-,-,-,-
86,전라북도,고창군,47698,0,47698,0,47698,0,47698,0,47698,0,16675,34600,0,34600,0,34600,0,34600,0,34600,0,34600,-,-,-,-
87,전라북도,부안군,-,-,-,-,-,-,-,-,-,-,5278254,0,5278254,0,5278254,0,5278254,0,5278254,0,5282844,0,-,-,-,-
88,전라북도,김제시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,658126,0,658126,0
89,전라남도,소계,5710868,660338,3716088,654156,10473,209185,186458,209185,204616,144416,204616,144416,204616,144416,194143,144416,194143,144416,194143,144416,17175,119888,17175,119888,2735,134328
90,전라남도,목포시,129538,0,129538,0,0,64769,0,64769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,전라남도,나주시,3541880,509740,3541880,509740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,전라남도,광양시,1650671,34354,0,28172,0,28172,168339,28172,186497,28172,186497,28172,186497,28172,186497,28172,186497,28172,186497,28172,17175,3644,17175,3644,2735,18084
93,전라남도,고흥군,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244,0,116244
94,전라남도,화순군,-,-,10473,0,10473,0,10473,0,10473,0,10473,0,10473,0,-,-,-,-,-,-,-,-,-,-,-,-
95,전라남도,강진군,354582,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
