,소재지(시군구)별,도시및비도시지역별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
430,세종특별자치시,합계,면적[㎡],㎡,,,,,,,,464883252.0,464900371.0,464897404.0,464866065.0,464868526.0,464893067.0,464912495.0,464949680.0,464912366.0,
435,경기도,합계,면적[㎡],㎡,10130860850.0,10131686419.0,10132240202.0,10133953766.0,10135933790.0,10167146613.0,10170686161.0,10172287941.0,10172626434.0,10172685438.0,10175339913.0,10183458408.0,10186590541.0,10187788177.0,10192514247.0,10195268700.0,
440,수원시,합계,면적[㎡],㎡,121051987.0,121053320.0,121065757.0,121010329.0,121006257.0,121008573.0,121016279.0,121011586.0,121048993.0,121047968.0,121050957.0,121054135.0,121054375.0,121041549.0,121092176.0,121091682.0,
445,성남시,합계,면적[㎡],㎡,141764235.0,141751487.0,141742914.0,141723357.0,141708098.0,141700139.0,141686375.0,141677742.0,141691606.0,141694550.0,141664693.0,141664549.0,141659163.0,141638215.0,141633070.0,141632157.0,
450,고양시,합계,면적[㎡],㎡,267311268.0,267334422.0,267359810.0,267411540.0,267436948.0,267451947.0,267475449.0,268044372.0,268051190.0,268060908.0,268077190.0,268095876.0,268059218.0,268076620.0,268088330.0,268102339.0,
455,용인시,합계,면적[㎡],㎡,591451458.0,591347485.0,591317957.0,591322869.0,591357119.0,591346456.0,591365640.0,591381346.0,591330369.0,591347090.0,591323715.0,591339197.0,591350941.0,591289210.0,591259247.0,591231394.0,
460,부천시,합계,면적[㎡],㎡,53441319.0,53497089.0,53438436.0,53436090.0,53436931.0,53436892.0,53435940.0,53435859.0,53435717.0,53434108.0,53437499.0,53439860.0,53442446.0,53444252.0,53446246.0,53451957.0,
465,안산시,합계,면적[㎡],㎡,147134202.0,147913503.0,148046559.0,148482307.0,149067410.0,149119492.0,149398951.0,149397804.0,149495853.0,149500412.0,150794392.0,154231419.0,155198095.0,155642325.0,155730955.0,156333606.0,
470,안양시,합계,면적[㎡],㎡,58516932.0,58466976.0,58468179.0,58457756.0,58458643.0,58458965.0,58459113.0,58459570.0,58462744.0,58471531.0,58470526.0,58500269.0,58497532.0,58463654.0,58467312.0,58472851.0,
475,남양주시,합계,면적[㎡],㎡,458390815.0,458442640.0,458502112.0,458533224.0,458054757.0,458039675.0,458062710.0,458055105.0,458054145.0,458098292.0,458022769.0,458051703.0,458070891.0,458101929.0,458115470.0,458144350.0,
480,화성시,합계,면적[㎡],㎡,688229567.0,688326273.0,688372656.0,688284210.0,689227185.0,689253956.0,689480014.0,689578383.0,689660988.0,689656657.0,689734344.0,693918353.0,693952248.0,693924902.0,697766499.0,698179782.0,
485,평택시,합계,면적[㎡],㎡,453067351.0,453018709.0,453305830.0,454627273.0,455180304.0,455733996.0,457380928.0,457471647.0,457464147.0,457472795.0,458124341.0,458081968.0,458076120.0,458264764.0,458244178.0,458242535.0,
490,의정부시,합계,면적[㎡],㎡,81598379.0,81580528.0,81579202.0,81540067.0,81543530.0,81540924.0,81540848.0,81542177.0,81542065.0,81542694.0,81535735.0,81539185.0,81539418.0,81542958.0,81544832.0,81546632.0,
495,시흥시,합계,면적[㎡],㎡,134402303.0,134523107.0,134558319.0,134573022.0,135008188.0,135032296.0,135027919.0,135021695.0,135014600.0,135056862.0,135790207.0,135795688.0,137607939.0,138652287.0,138660046.0,139680132.0,
500,파주시,합계,면적[㎡],㎡,672567532.0,672607203.0,672420741.0,672469231.0,672425017.0,672789374.0,672610067.0,672658607.0,672769147.0,672780051.0,672888154.0,672834018.0,673115033.0,673207364.0,673229199.0,673861018.0,
