,행정구역별,자동차등록용도별,차종별,항목,단위,2020 년,2019 년,2018 년,2017 년,2016 년,2015 년,2014 년,2013 년,2012 년,Unnamed: 14
4021,양양군,전체,합계,연간 주행거리[천㎞],천㎞,204485.9,199192.1,192030.2,186711.7,184577.1,178774.3,169101.0,164659.5,152464.7,
4051,충청북도,전체,합계,연간 주행거리[천㎞],천㎞,11864122.6,11827666.0,11505089.3,11273578.3,10859968.6,10402029.5,10079004.4,9673981.3,9762379.4,
4081,청주시,전체,합계,연간 주행거리[천㎞],천㎞,5842993.6,5832645.3,5728547.7,5595750.5,5436880.4,5223199.4,5138252.0,3754772.5,4019288.1,
4111,충주시,전체,합계,연간 주행거리[천㎞],천㎞,1581395.8,1563409.6,1484474.6,1481366.7,1422703.9,1354822.8,1304014.8,1267389.5,1247860.9,
4141,제천시,전체,합계,연간 주행거리[천㎞],천㎞,980720.9,1003249.7,975184.0,974740.8,925441.4,889916.5,867724.6,868374.0,829594.7,
4171,청원군,전체,합계,연간 주행거리[천㎞],천㎞,,,,,,,,1126228.0,1177002.6,
4201,보은군,전체,합계,연간 주행거리[천㎞],천㎞,267557.2,272402.4,272853.8,270824.7,260506.2,256357.2,246761.4,236387.5,225848.6,
4231,옥천군,전체,합계,연간 주행거리[천㎞],천㎞,425243.3,403944.4,390828.7,390816.8,371751.5,357695.1,341184.4,338300.5,310457.0,
4261,영동군,전체,합계,연간 주행거리[천㎞],천㎞,336304.9,344790.1,340591.3,329546.9,316165.0,315109.8,303813.8,295265.2,268296.6,
4291,증평군,전체,합계,연간 주행거리[천㎞],천㎞,291805.8,293329.2,285964.3,278204.4,262778.7,250684.5,226801.9,221769.8,210951.4,
4321,진천군,전체,합계,연간 주행거리[천㎞],천㎞,705492.9,686103.7,621898.8,577170.2,537699.1,502899.1,457144.2,440207.0,411528.9,
4351,괴산군,전체,합계,연간 주행거리[천㎞],천㎞,320571.3,317809.5,308591.5,301392.8,284695.1,272405.4,262531.4,243923.7,237387.1,
4381,음성군,전체,합계,연간 주행거리[천㎞],천㎞,873170.2,858643.4,851277.6,827154.4,806192.8,746650.4,716836.5,670775.2,635531.4,
4411,단양군,전체,합계,연간 주행거리[천㎞],천㎞,238866.7,251338.8,244877.1,246610.1,235154.3,232289.2,213939.3,210588.2,188631.9,
4441,충청남도,전체,합계,연간 주행거리[천㎞],천㎞,15886258.8,15798277.8,15519651.3,15152928.4,14549769.5,13903263.0,13492523.3,12821679.5,13564177.1,
4471,천안시,전체,합계,연간 주행거리[천㎞],천㎞,4365043.1,4264173.1,4219966.8,4063732.6,3927000.3,3721846.4,3653551.3,3424912.3,3779816.4,
4501,공주시,전체,합계,연간 주행거리[천㎞],천㎞,814460.2,813733.1,822747.9,811246.8,796765.6,764254.7,751554.5,744415.5,769626.7,
4531,보령시,전체,합계,연간 주행거리[천㎞],천㎞,718807.4,733591.6,699697.5,703119.8,683558.5,667871.6,633083.2,625460.3,579751.4,
4561,아산시,전체,합계,연간 주행거리[천㎞],천㎞,2400548.0,2371166.2,2306116.8,2211271.4,2138394.9,1985880.5,1918640.3,1771514.7,1792118.0,
4591,서산시,전체,합계,연간 주행거리[천㎞],천㎞,1403096.5,1395250.2,1342221.3,1295766.3,1247810.2,1181713.3,1143558.2,1082388.0,972774.9,
4621,논산시,전체,합계,연간 주행거리[천㎞],천㎞,939978.7,950487.5,934370.8,937628.9,907164.6,885617.6,853674.0,823971.1,766922.0,
4651,계룡시,전체,합계,연간 주행거리[천㎞],천㎞,328926.7,336665.6,332252.1,328590.5,307578.6,290585.5,268307.4,267137.7,247891.9,
4681,당진시,전체,합계,연간 주행거리[천㎞],천㎞,1430983.7,1404178.3,1376807.0,1314030.6,1207347.1,1187304.1,1163990.9,1088766.8,1045167.5,
4711,금산군,전체,합계,연간 주행거리[천㎞],천㎞,462179.2,471109.4,469384.8,489797.4,483355.2,449939.8,421075.9,402412.0,387200.8,
4741,연기군,전체,합계,연간 주행거리[천㎞],천㎞,,,,,,,,,748293.7,
4771,부여군,전체,합계,연간 주행거리[천㎞],천㎞,517659.5,538290.3,535500.7,530954.8,506154.8,493614.2,489481.2,464782.0,431951.1,
4801,서천군,전체,합계,연간 주행거리[천㎞],천㎞,395407.3,402008.4,393578.0,406631.5,393600.1,381436.7,381437.6,367195.4,347583.5,
4831,청양군,전체,합계,연간 주행거리[천㎞],천㎞,276912.1,271211.8,264417.7,262453.7,251689.7,246739.2,235291.9,226368.5,212029.5,
4861,홍성군,전체,합계,연간 주행거리[천㎞],천㎞,758091.7,749098.7,738699.1,723150.3,666106.3,627569.5,589397.8,554093.0,557604.1,
4891,예산군,전체,합계,연간 주행거리[천㎞],천㎞,631943.0,647364.8,639858.9,637614.3,613021.1,609806.4,598532.0,596136.9,569779.7,
4921,태안군,전체,합계,연간 주행거리[천㎞],천㎞,442221.6,449948.8,444031.9,436939.6,420222.6,409083.3,390947.1,382125.1,355666.0,
4951,전라북도,전체,합계,연간 주행거리[천㎞],천㎞,13263208.2,12997652.1,13148536.7,12865672.2,12450128.1,12089953.8,11818717.1,11371831.0,11667342.4,
