Unnamed: 0,지역별(1),지역별(2),2015.2/2,2015.2/2.1,2016.2/2,2016.2/2.1,2017.2/2,2017.2/2.1,2018.2/2,2018.2/2.1,2019.2/2,2019.2/2.1,2020.2/2,2020.2/2.1,2021.1/2,2021.1/2.1
0,지역별(1),지역별(2),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡)
29,부산광역시,중구,42,5101,42,4966,40,4754,41,4830,37,4489,39,4731,38,4259
30,부산광역시,서구,131,269559,136,271495,135,270445,136,284031,136,276998,119,241405,111,238719
31,부산광역시,동구,47,35484,51,36126,49,36065,47,36130,49,37007,46,35956,51,36876
32,부산광역시,영도구,668,789954,696,810803,714,730732,726,630098,702,633452,681,628677,682,628019
33,부산광역시,부산진구,194,34405,195,32363,185,28667,175,25747,170,28198,154,26252,150,26726
34,부산광역시,동래구,79,43366,75,38094,80,39869,82,39725,88,55116,93,55037,99,55944
35,부산광역시,남구,173,487300,185,480890,199,474082,202,475574,214,485999,213,493129,216,496338
36,부산광역시,북구,64,23240,68,27426,55,25621,62,24655,60,24036,64,25098,68,25477
37,부산광역시,해운대구,68,1603799,76,1605776,86,1609183,83,1568228,77,1558599,76,1557543,78,1557543
38,부산광역시,사하구,987,2445325,971,2441767,995,2477126,1009,2322410,844,2136418,831,2161193,840,2148220
39,부산광역시,금정구,466,491254,478,483602,425,457527,405,435498,356,431422,349,429023,361,427251
40,부산광역시,강서구,1345,1784399,1415,1829293,1470,1862595,1491,1844629,1532,1912145,1548,1926109,1550,1922113
41,부산광역시,연제구,87,65191,89,65646,88,54253,91,49691,84,52745,90,54384,90,53647
42,부산광역시,수영구,57,19775,67,21609,61,19320,61,19312,59,17842,47,15487,45,14958
43,부산광역시,사상구,2594,2332026,2574,2320490,2284,2121754,1832,1793252,1884,1804904,1879,1729460,1873,1714009
44,부산광역시,기장군,310,1967783,345,2025317,372,2083679,384,1964373,400,1991889,418,2021806,427,2028650
45,대구광역시,소계,3561,4594152,2568,3463796,2444,3419843,2481,3442800,2528,3435143,2548,3346049,2559,3347515
46,대구광역시,중구,143,36594,149,37226,154,39320,159,40134,164,41532,160,42022,162,42540
47,대구광역시,동구,246,457967,247,447257,267,455072,283,455253,285,432152,283,338433,287,347248
48,대구광역시,서구,554,847236,199,174385,213,178380,222,181364,236,192498,243,191049,241,186997
49,대구광역시,남구,37,8238,39,9188,44,10076,47,13095,55,14165,59,14463,61,14858
50,대구광역시,북구,1580,1166442,896,622989,706,549572,697,539380,692,527164,707,515696,710,516846
51,대구광역시,수성구,44,40296,48,41015,52,40649,57,40543,56,40757,62,42381,64,41310
52,대구광역시,달서구,121,103603,132,106221,138,110597,134,119896,141,98915,130,114924,130,113904
53,대구광역시,달성군,836,1933775,858,2025515,870,2036177,882,2053136,899,2087961,904,2087080,904,2083813
